opportunity_id,opportunity_name,company_name,company_id,stage,expected_close_date,amount,currency_code,probability,source,owner_name,created_date,last_modified_date,description,industry,geography,deal_type,investment_thesis,CRM_OPPORTUNITY_ID,CANONICAL_OPPORTUNITY_ID,CANONICAL_COMPANY_ID
OPP-001,Series B Growth Capital,TechFlow Solutions,COMP-001,Due Diligence,2024-03-15,25000000,USD,75,Referral,Sarah Johnson,2023-11-20,2024-01-15,SaaS platform for supply chain optimization,Technology,North America,Growth Equity,Strong recurring revenue model with 40% YoY growth,OPP-001,f78d3dac-846c-5203-9745-c0690dd4902b,1b7e4e75-1006-5beb-8b57-0d630d04fcc0
OPP-002,Acquisition Financing,MedDevice Innovations,COMP-002,Term Sheet,2024-02-28,15000000,USD,85,Direct Outreach,Michael Chen,2023-10-05,2024-01-22,Medical device manufacturer specializing in cardiac monitoring,Healthcare,Europe,Buyout,Market leader with proprietary technology and regulatory moats,OPP-002,260ee52c-d43e-5725-b6e3-9ba3046bd07d,973f92be-30df-5eef-b690-8123b249c8c3
OPP-003,Expansion Capital,GreenEnergy Corp,COMP-003,Initial Review,2024-06-30,35000000,EUR,45,Conference,Lisa Rodriguez,2024-01-10,2024-01-25,Renewable energy project developer,Energy,Europe,Growth Equity,ESG-focused investment with strong pipeline of projects,OPP-003,c945b8a6-1179-5f41-90c6-6f39d4ad953e,96b79e55-a99d-5954-b01e-b6dec2de3bd3
OPP-004,Recapitalization,RetailMax Holdings,COMP-004,Negotiation,2024-04-20,50000000,USD,90,Existing Portfolio,David Kim,2023-09-15,2024-01-20,Multi-brand retail chain with omnichannel presence,Consumer,North America,Buyout,Proven management team with successful track record,OPP-004,83eda2cb-239b-5329-a2ce-e47218024e02,26564e00-966c-539c-be45-3832d0ed274b
OPP-005,Series A Investment,FinTech Innovations,COMP-005,Prospecting,2024-08-15,8000000,USD,25,Cold Outreach,Emma Thompson,2024-01-05,2024-01-28,Digital banking platform for SMEs,Financial Services,Asia Pacific,Venture,Large addressable market with strong product-market fit,OPP-005,fb068f6e-9cf2-55e5-950c-7007d24cc72a,82cf8fd0-6e26-5ae8-81f1-093a1228edf1
OPP-006,Bolt-on Acquisition,Industrial Solutions Ltd,COMP-006,Due Diligence,2024-03-31,12000000,GBP,70,Investment Banker,Robert Wilson,2023-12-01,2024-01-18,Manufacturing services for aerospace industry,Industrials,Europe,Add-on,Strategic fit with existing portfolio company,OPP-006,a3954885-51ce-5876-906c-dbc2b8a87318,1d6a372f-fcb3-5257-af52-998e72f6d931
OPP-007,Growth Investment,EduTech Platform,COMP-007,Declined,2024-01-30,,USD,0,Direct Outreach,Sarah Johnson,2023-08-20,2024-01-30,Online learning platform for K-12 education,Education,North America,Growth Equity,Valuation expectations too high for current metrics,OPP-007,6650b9fa-799e-51dd-bc7b-b54df648fe3f,c9c6b300-116b-5456-85d1-5ae9dc32aed1
OPP-008,Buyout Opportunity,LogiCorp International,COMP-008,LOI Signed,2024-05-15,75000000,USD,95,Auction Process,Michael Chen,2023-07-10,2024-01-25,Third-party logistics provider with national footprint,Transportation,North America,Buyout,Fragmented market with consolidation opportunity,OPP-008,28bbcf26-cd1f-553e-8c21-7bbae5c8a88a,756dd9e3-1b56-5a38-a227-d40fb998786d
OPP-009,Series C Funding,BioTech Ventures,COMP-009,Initial Review,2024-07-20,40000000,USD,35,Referral,Lisa Rodriguez,2023-12-15,2024-01-22,Drug discovery platform using AI/ML,Healthcare,North America,Growth Equity,Promising pipeline but regulatory risks remain,OPP-009,bd57a7cf-7edf-54df-ba63-1578d6a411b3,d5ba9f32-68b9-53c5-bfec-2a9484ef7349
OPP-010,Distressed Investment,Energy Services Co,COMP-010,On Hold,2024-12-31,20000000,USD,15,Distressed Specialist,David Kim,2023-11-30,2024-01-20,Oilfield services company facing restructuring,Energy,North America,Special Situations,Cyclical downturn but strong underlying assets,OPP-010,451e2a1d-1d3f-54b3-980c-8358093ef1a1,07976834-dbcd-5387-84e9-53066f747b27
OPP-011,Platform Investment,CloudSoft Systems,COMP-011,Due Diligence,2024-04-10,30000000,USD,80,Technology Banker,Emma Thompson,2023-10-25,2024-01-24,Enterprise software for cloud migration,Technology,North America,Buyout,Experienced management team with clear growth strategy,OPP-011,e8e8ec12-1a77-538e-83dc-9781d1ac8800,a6d960ae-207a-5567-8d2b-2c73693d9b71
OPP-012,Co-Investment,European Pharma,COMP-012,Committed,2024-02-15,18000000,EUR,100,Co-Investment Partner,Robert Wilson,2023-09-05,2024-01-15,Specialty pharmaceutical manufacturer,Healthcare,Europe,Co-Investment,Following lead investor with strong conviction,OPP-012,d9b0068b-e7df-5fcf-9e10-e8dce9a79eca,8ca3f80b-7698-5490-a630-c66ae12ce9e4
OPP-013,Minority Investment,AgriTech Solutions,COMP-013,Term Sheet,2024-05-30,22000000,USD,75,Industry Contact,Sarah Johnson,2023-11-10,2024-01-26,Precision agriculture technology platform,Agriculture,North America,Growth Equity,Sustainable farming solutions with strong IP portfolio,OPP-013,e7518dc7-19fe-5207-9f12-5ab036cd4f3b,e29cd83f-31f0-5d42-8b85-b50fd02891d8
OPP-014,Carve-out Opportunity,Manufacturing Division,COMP-014,Prospecting,2024-09-30,45000000,USD,40,Corporate Development,Michael Chen,2024-01-08,2024-01-29,Automotive parts manufacturing division,Industrials,Asia Pacific,Buyout,Corporate parent looking to divest non-core assets,OPP-014,c2df9b64-72e6-576b-81e8-4ee91ee975db,c9b8e480-7125-518a-911a-a567d2cb2f5d
OPP-015,Secondary Purchase,Real Estate Fund,COMP-015,Initial Review,2024-06-15,60000000,USD,30,Secondary Broker,Lisa Rodriguez,2023-12-20,2024-01-23,Commercial real estate development fund,Real Estate,North America,Secondary,Limited partner seeking liquidity at discount,OPP-015,30b14a9f-2dbb-575f-869d-26b01b4891d9,3c118b09-3575-5356-a408-d100c18571cf
