valuation_id,company_id,company_name,investment_id,valuation_date,valuation_method,enterprise_value,enterprise_value_currency,equity_value,equity_value_currency,revenue_multiple,ebitda_multiple,book_multiple,comparable_companies,discount_rate,terminal_growth_rate,valuation_notes,valuation_source,confidence_level,last_financing_round_valuation,last_financing_date,created_date,last_modified_date,PM_VALUATION_ID,CANONICAL_VALUATION_ID,CANONICAL_COMPANY_ID,CANONICAL_INVESTMENT_ID
VAL-001,COMP-001,TechFlow Solutions,PM-INV-001,2022-09-30,Market Multiple,175000000,USD,161250000,USD,8.5,45.0,N/A,"Salesforce (CRM), ServiceNow (NOW), Workday (WDAY)",N/A,N/A,Strong SaaS metrics with 40% YoY growth and 90% gross margins,External Valuation,High,161250000,2022-08-15,2022-10-01,2022-10-01,VAL-001,583bb2f5-50db-5cbe-b388-a95e70cdf1a7,1b7e4e75-1006-5beb-8b57-0d630d04fcc0,ef4deee7-aa2e-5204-96a0-ebbc642fbd50
VAL-002,COMP-001,TechFlow Solutions,PM-INV-001,2022-12-31,Market Multiple,187500000,USD,172500000,USD,8.8,44.1,N/A,"Salesforce (CRM), ServiceNow (NOW), Workday (WDAY)",N/A,N/A,Continued strong performance with new customer wins,Internal Valuation,Medium,161250000,2022-08-15,2023-01-10,2023-01-10,VAL-002,99b8c053-aba1-5ecd-b5e0-eb4c13cad526,1b7e4e75-1006-5beb-8b57-0d630d04fcc0,ef4deee7-aa2e-5204-96a0-ebbc642fbd50
VAL-003,COMP-001,TechFlow Solutions,PM-INV-001,2023-03-31,Market Multiple,200000000,USD,184000000,USD,9.2,42.1,N/A,"Salesforce (CRM), ServiceNow (NOW), Workday (WDAY)",N/A,N/A,Market expansion and product enhancements driving growth,Internal Valuation,Medium,161250000,2022-08-15,2023-04-10,2023-04-10,VAL-003,32e0effb-5c3b-5f3a-ab39-867012c34785,1b7e4e75-1006-5beb-8b57-0d630d04fcc0,ef4deee7-aa2e-5204-96a0-ebbc642fbd50
VAL-004,COMP-001,TechFlow Solutions,PM-INV-001,2023-06-30,Market Multiple,225000000,USD,207000000,USD,9.6,42.9,N/A,"Salesforce (CRM), ServiceNow (NOW), Workday (WDAY)",N/A,N/A,Strong Q2 results with accelerating ARR growth,Internal Valuation,Medium,161250000,2022-08-15,2023-07-10,2023-07-10,VAL-004,4d37340d-ee64-5c65-9a92-bc04e5927b17,1b7e4e75-1006-5beb-8b57-0d630d04fcc0,ef4deee7-aa2e-5204-96a0-ebbc642fbd50
VAL-005,COMP-004,RetailMax Holdings,PM-INV-002,2022-12-31,DCF Analysis,125000000,USD,76875000,USD,2.0,16.7,1.23,N/A,12.0,2.5,Omnichannel strategy showing early results,External Valuation,High,76875000,2022-11-20,2023-01-15,2023-01-15,VAL-005,a79261b4-323d-507b-91cb-7b90fb3407ef,26564e00-966c-539c-be45-3832d0ed274b,589d17ed-d63d-5142-91ff-292c9f09ca44
VAL-006,COMP-004,RetailMax Holdings,PM-INV-002,2023-03-31,DCF Analysis,137500000,USD,84375000,USD,2.0,16.7,1.23,N/A,12.0,2.5,Same-store sales growth and margin expansion,Internal Valuation,Medium,76875000,2022-11-20,2023-04-15,2023-04-15,VAL-006,b718624c-01d3-5c51-93c3-b6f45cb5ce90,26564e00-966c-539c-be45-3832d0ed274b,589d17ed-d63d-5142-91ff-292c9f09ca44
VAL-007,COMP-004,RetailMax Holdings,PM-INV-002,2023-06-30,DCF Analysis,150000000,USD,92250000,USD,2.0,16.7,1.23,N/A,12.0,2.5,Digital transformation initiatives gaining traction,Internal Valuation,Medium,76875000,2022-11-20,2023-07-15,2023-07-15,VAL-007,256b62d9-8023-5ee6-8efc-2bdb987d0c51,26564e00-966c-539c-be45-3832d0ed274b,589d17ed-d63d-5142-91ff-292c9f09ca44
VAL-008,COMP-004,RetailMax Holdings,PM-INV-002,2023-09-30,DCF Analysis,162500000,USD,99937500,USD,2.0,16.7,1.23,N/A,12.0,2.5,Strong back-to-school season performance,Internal Valuation,Medium,76875000,2022-11-20,2023-10-15,2023-10-15,VAL-008,a819bee5-0766-50ef-9f75-e35e4fc1f195,26564e00-966c-539c-be45-3832d0ed274b,589d17ed-d63d-5142-91ff-292c9f09ca44
VAL-009,COMP-011,CloudSoft Systems,PM-INV-003,2023-06-30,Recent Transaction,65000000,USD,65000000,USD,2.9,14.4,N/A,N/A,N/A,N/A,Valuation based on recent investment transaction,Transaction-Based,High,65000000,2023-05-10,2023-07-01,2023-07-01,VAL-009,6c39c890-bd6b-56cc-b0dd-9f2ced4bfa59,a6d960ae-207a-5567-8d2b-2c73693d9b71,a9cc1d1e-06ac-5170-88ec-5b3be8a7d81c
VAL-010,COMP-011,CloudSoft Systems,PM-INV-003,2023-09-30,Market Multiple,71500000,USD,71500000,USD,2.9,14.3,N/A,"VMware (VMW), Citrix (CTXS), Nutanix (NTNX)",N/A,N/A,Cloud migration market tailwinds supporting valuation,Internal Valuation,Medium,65000000,2023-05-10,2023-10-15,2023-10-15,VAL-010,1f3c0d39-8898-566d-9e12-66113af74ebb,a6d960ae-207a-5567-8d2b-2c73693d9b71,a9cc1d1e-06ac-5170-88ec-5b3be8a7d81c
VAL-011,COMP-011,CloudSoft Systems,PM-INV-003,2023-12-31,Market Multiple,78000000,USD,78000000,USD,2.8,14.2,N/A,"VMware (VMW), Citrix (CTXS), Nutanix (NTNX)",N/A,N/A,Strong Q4 bookings and customer expansion,Internal Valuation,Medium,65000000,2023-05-10,2024-01-15,2024-01-15,VAL-011,8948bd8c-41d4-52da-9574-fe7991364e28,a6d960ae-207a-5567-8d2b-2c73693d9b71,a9cc1d1e-06ac-5170-88ec-5b3be8a7d81c
VAL-012,COMP-002,MedDevice Innovations,PM-INV-004,2022-12-31,Market Multiple,27142857,EUR,27142857,EUR,2.6,12.8,N/A,"Medtronic (MDT), Abbott (ABT), Boston Scientific (BSX)",N/A,N/A,Regulatory approvals and market penetration,External Valuation,High,27142857,2022-09-25,2023-01-20,2023-01-20,VAL-012,6f9bb9e2-c67b-5974-a3f9-77125d6e8771,973f92be-30df-5eef-b690-8123b249c8c3,31dd28b1-22b0-549e-888a-6f115231692a
VAL-013,COMP-002,MedDevice Innovations,PM-INV-004,2023-03-31,Market Multiple,29464286,EUR,29464286,EUR,2.5,12.4,N/A,"Medtronic (MDT), Abbott (ABT), Boston Scientific (BSX)",N/A,N/A,New product launches and geographic expansion,Internal Valuation,Medium,27142857,2022-09-25,2023-04-20,2023-04-20,VAL-013,21e74666-0c62-5e31-a720-45d4cadb5a59,973f92be-30df-5eef-b690-8123b249c8c3,31dd28b1-22b0-549e-888a-6f115231692a
VAL-014,COMP-002,MedDevice Innovations,PM-INV-004,2023-06-30,Market Multiple,31785714,EUR,31785714,EUR,2.4,12.1,N/A,"Medtronic (MDT), Abbott (ABT), Boston Scientific (BSX)",N/A,N/A,Strong clinical outcomes data supporting adoption,Internal Valulation,Medium,27142857,2022-09-25,2023-07-20,2023-07-20,VAL-014,f7523af5-9b0c-51a2-895a-e0b91c35245e,973f92be-30df-5eef-b690-8123b249c8c3,31dd28b1-22b0-549e-888a-6f115231692a
VAL-015,COMP-009,BioTech Ventures,PM-INV-006,2023-06-30,Risk-Adjusted NPV,35555556,USD,35555556,USD,N/A,N/A,N/A,N/A,15.0,N/A,Phase II trial results better than expected,External Valuation,Low,35555556,2023-04-20,2023-07-25,2023-07-25,VAL-015,39089ef2-c67f-5ce5-842e-5b69590b9a3d,d5ba9f32-68b9-53c5-bfec-2a9484ef7349,97e153c2-c6d9-5a47-8624-21f8df762583
VAL-016,COMP-009,BioTech Ventures,PM-INV-006,2023-09-30,Risk-Adjusted NPV,40000000,USD,40000000,USD,N/A,N/A,N/A,N/A,15.0,N/A,FDA breakthrough therapy designation received,Internal Valuation,Low,35555556,2023-04-20,2023-10-25,2023-10-25,VAL-016,1ad5bed6-3227-5774-b200-915a7a337c93,d5ba9f32-68b9-53c5-bfec-2a9484ef7349,97e153c2-c6d9-5a47-8624-21f8df762583
VAL-017,COMP-009,BioTech Ventures,PIN-INV-006,2023-12-31,Risk-Adjusted NPV,41111111,USD,41111111,USD,N/A,N/A,N/A,N/A,15.0,N/A,Partnership discussions with major pharma companies,Internal Valuation,Low,35555556,2023-04-20,2024-01-25,2024-01-25,VAL-017,c0e77b53-1819-543f-9fc8-cdc4f8e44b3a,d5ba9f32-68b9-53c5-bfec-2a9484ef7349,142356a1-3be9-5d18-bb60-9914deaa30f5
VAL-018,COMP-005,FinTech Innovations,PM-INV-007,2023-09-30,Market Multiple,53333333,USD,53333333,USD,14.2,142.2,N/A,"Square (SQ), PayPal (PYPL), Adyen (ADYEN)",N/A,N/A,Strong growth in SME lending portfolio,External Valuation,Medium,53333333,2023-08-30,2023-10-30,2023-10-30,VAL-018,f07a89ef-bdc7-5256-a481-43b9f93b1d41,82cf8fd0-6e26-5ae8-81f1-093a1228edf1,b3d48487-8387-56ef-b6d5-fe28502e7ae0
VAL-019,COMP-005,FinTech Innovations,PM-INV-007,2023-12-31,Market Multiple,58333333,USD,58333333,USD,13.3,133.3,N/A,"Square (SQ), PayPal (PYPL), Adyen (ADYEN)",N/A,N/A,Regulatory approval for new banking services,Internal Valuation,Medium,53333333,2023-08-30,2024-01-30,2024-01-30,VAL-019,3fff377a-228d-52cb-92e9-727590a93027,82cf8fd0-6e26-5ae8-81f1-093a1228edf1,b3d48487-8387-56ef-b6d5-fe28502e7ae0
VAL-020,COMP-013,AgriTech Solutions,PM-INV-009,2022-12-31,Market Multiple,77777778,USD,77777778,USD,6.9,34.6,N/A,"Deere & Company (DE), Trimble (TRMB), Climate Corp",N/A,N/A,Precision agriculture adoption accelerating,External Valuation,Medium,77777778,2022-11-30,2023-01-30,2023-01-30,VAL-020,8ff24354-76f5-57db-a2e6-c46d2caabcd1,e29cd83f-31f0-5d42-8b85-b50fd02891d8,3ab55b5e-1345-5606-a1a6-66eb5770825a
VAL-021,COMP-013,AgriTech Solutions,PM-INV-009,2023-03-31,Market Multiple,83333333,USD,83333333,USD,6.7,33.3,N/A,"Deere & Company (DE), Trimble (TRMB), Climate Corp",N/A,N/A,New partnerships with equipment manufacturers,Internal Valuation,Medium,77777778,2022-11-30,2023-04-30,2023-04-30,VAL-021,ca6d0325-bd4b-5016-b425-c0c8ffd3d336,e29cd83f-31f0-5d42-8b85-b50fd02891d8,3ab55b5e-1345-5606-a1a6-66eb5770825a
VAL-022,COMP-013,AgriTech Solutions,PM-INV-009,2023-06-30,Market Multiple,88888889,USD,88888889,USD,6.5,32.3,N/A,"Deere & Company (DE), Trimble (TRMB), Climate Corp",N/A,N/A,International expansion showing early success,Internal Valuation,Medium,77777778,2022-11-30,2023-07-30,2023-07-30,VAL-022,cb9e91ee-4b9f-59dc-8e48-da869ef35e95,e29cd83f-31f0-5d42-8b85-b50fd02891d8,3ab55b5e-1345-5606-a1a6-66eb5770825a
VAL-023,COMP-013,AgriTech Solutions,PM-INV-009,2023-09-30,Market Multiple,94444444,USD,94444444,USD,6.3,31.5,N/A,"Deere & Company (DE), Trimble (TRMB), Climate Corp",N/A,N/A,Strong harvest season adoption and retention,Internal Valuation,Medium,77777778,2022-11-30,2023-10-30,2023-10-30,VAL-023,0751d0e0-8867-54e6-b7d8-4c09878e2389,e29cd83f-31f0-5d42-8b85-b50fd02891d8,3ab55b5e-1345-5606-a1a6-66eb5770825a
